model_id,datetime,reference_datetime,site_id,family,parameter,variable,prediction
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,24.565112063018347
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,24.74443069402364
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,24.98533051367017
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,25.082700416287206
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,25.15763218336855
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,25.365432516343574
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,25.499003298708796
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,25.597231561191265
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,25.668686069111473
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,25.752426875079212
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,25.764939012132416
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,25.7678974723563
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,25.808106774146886
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,25.910116408626017
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,25.961677758617846
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,26.079942898347348
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,26.161174206993156
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,26.17702193605581
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,26.10123219257041
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,26.050507622520815
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,26.060266458689554
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,26.094468362122292
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,26.238303431652525
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,26.145210481128977
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,26.060230486138146
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,26.04681680645446
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,26.015643674507896
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,26.046916205787028
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,26.045029503058068
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,26.12630421958441
GLEON_lm_lag_1day,2022-11-07,2022-11-05,BARC,ensemble,temperature,temperature,26.163517040709333
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,26.09643925321635
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,26.00313265618125
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,26.097487272176277
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,26.23291336139105
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,26.129478917692705
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,26.050949273484953
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,25.96162056976826
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,25.996483421014858
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,26.008469112033094
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,26.052758597902542
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,25.928715935103934
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,25.856886394718394
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,25.68449164500479
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,25.78949702610968
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,25.70978000979414
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,25.815260333026625
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,25.864368211171797
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,25.855636264846577
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,25.71666844025788
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,25.700947992692686
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,25.639006572953306
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,25.6621622287081
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,25.728393174283823
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,25.711603811367226
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,25.584794185992138
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,25.60423530321319
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,25.635239943542416
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,25.7237139341312
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,25.681745813018104
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,25.714760991122063
GLEON_lm_lag_1day,2022-11-08,2022-11-05,BARC,ensemble,temperature,temperature,25.571127819132858
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,25.369843370992292
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,25.249480077863545
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,25.349387252780467
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,25.365439854235184
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,24.905435390958182
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,24.956586897989798
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,24.925863773365336
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,25.053876278769998
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,25.06224332962902
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,25.108571505291714
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,25.07716078678124
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,25.054972209535638
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,24.931465756250773
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,24.956563270887617
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,24.716573190705304
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,24.789416003462026
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,24.90743988349334
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,25.009462946966543
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,24.929154420183274
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,24.930338205440457
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,24.78852649695486
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,24.65319261507476
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,24.758918488956493
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,24.766092985647134
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,24.829800071443426
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,24.694431251769636
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,24.98942932154873
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,24.978480062801513
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,24.899991994697245
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,24.83041835683124
GLEON_lm_lag_1day,2022-11-09,2022-11-05,BARC,ensemble,temperature,temperature,24.413441095627164
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,24.57554421988579
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,24.578185915372188
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,24.64171668800943
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,24.797827574321293
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,24.21221217383627
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,24.244683753916092
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,24.508934337742538
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,24.79860185954232
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,24.763568173430247
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,24.86205807307411
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,25.148124460375836
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,25.249666898540937
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,24.93786947474799
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,25.04969644634351
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,25.119830316565064
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,25.050417186087085
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,24.94258872656706
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,24.946020645636786
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,25.32376834313311
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,25.444096035461413
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,25.19728084977514
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,25.10772303436096
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,25.182809002870954
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,25.494330799843475
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,25.348323429271765
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,25.418410775562773
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,25.5470549651139
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,25.4747083534381
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,25.648841062801875
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,25.604370638686955
GLEON_lm_lag_1day,2022-11-10,2022-11-05,BARC,ensemble,temperature,temperature,25.472977895211645
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.2663391074784
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.26715413284049
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.14533376405795
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.385377652240294
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.13224336407284
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,24.996022132574364
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.325113701028826
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.463859835114608
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.455690231828747
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.372080719807773
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.460478868834233
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.315918259673563
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,24.94483217766468
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.099575287587893
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.46622047655595
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.667057897571645
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.50649329008633
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.377575899292797
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.62163010537345
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.629779552619944
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.639441150388954
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.320876049007005
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.502242271559105
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.641227034792067
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.53420548298761
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.578495937712624
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.658610687033843
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.615817889869344
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.638387899812113
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.608192275783498
GLEON_lm_lag_1day,2022-11-11,2022-11-05,BARC,ensemble,temperature,temperature,25.594267171660523
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,25.107407389829422
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,25.00029419119804
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,24.759349388527095
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,25.01578787877197
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,24.727579087121196
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,23.52822098887
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,23.90508990898139
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,23.933289499641774
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,23.61219691132057
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,23.56407404198281
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,23.69974374708981
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,23.613873873724412
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,23.331056931917864
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,23.193724892286205
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,23.134218486072115
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,23.428801274939403
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,23.498291506644012
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,22.82033747709699
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,22.77669449240697
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,22.571831253447293
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,22.65083914589274
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,22.15939314550458
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,22.010222449862443
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,22.1761426207838
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,22.33542148849434
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,22.252713041888327
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,22.449607505197203
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,22.535392056464318
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,22.503252419798745
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,22.106480852409145
GLEON_lm_lag_1day,2022-11-12,2022-11-05,BARC,ensemble,temperature,temperature,22.5200349287504
GLEON_lm_lag_1day,2022-11-13,2022-11-05,BARC,ensemble,temperature,temperature,21.934319810551095
GLEON_lm_lag_1day,2022-11-13,2022-11-05,BARC,ensemble,temperature,temperature,22.178289055390433
GLEON_lm_lag_1day,2022-11-13,2022-11-05,BARC,ensemble,temperature,temperature,21.84145043415683
GLEON_lm_lag_1day,2022-11-13,2022-11-05,BARC,ensemble,temperature,temperature,21.978492795684755
GLEON_lm_lag_1day,2022-11-13,2022-11-05,BARC,ensemble,temperature,temperature,21.602225466213632
GLEON_lm_lag_1day,2022-11-13,2022-11-05,BARC,ensemble,temperature,temperature,20.50492569447951
GLEON_lm_lag_1day,2022-11-13,2022-11-05,BARC,ensemble,temperature,temperature,20.136972392070675
GLEON_lm_lag_1day,2022-11-13,2022-11-05,BARC,ensemble,temperature,temperature,20.64979523799291
GLEON_lm_lag_1day,2022-11-13,2022-11-05,BARC,ensemble,temperature,temperature,19.609932093949944
GLEON_lm_lag_1day,2022-11-13,2022-11-05,BARC,ensemble,temperature,temperature,19.0444674791972
GLEON_lm_lag_1day,2022-11-13,2022-11-05,BARC,ensemble,temperature,temperature,19.140875403219024
GLEON_lm_lag_1day,2022-11-13,2022-11-05,BARC,ensemble,temperature,temperature,19.439387573451576
GLEON_lm_lag_1day,2022-11-13,2022-11-05,BARC,ensemble,temperature,temperature,19.229715034469645
GLEON_lm_lag_1day,2022-11-13,2022-11-05,BARC,ensemble,temperature,temperature,18.280535951425016
